MASTER-O ID,CONTENT LAUNCH DATE,CHALLENGES,COMPLETION STATUS,COMPLETION DATE,COMPLETED IN DAYS,ATTEMPTS,SCORE,MAX SCORE,TIME SPENT
Dummy Master-O ID 1,Dummy Content launch date 1,Dummy challenges 1,Dummy Completion Status 1,Dummy completion date 1,Dummy completed in days 1,Dummy Attempts 1,Dummy score 1,Dummy max score 1,Dummy time spent 1
Dummy Master-O ID 2,Dummy Content launch date 2,Dummy challenges 2,Dummy Completion Status 2,Dummy completion date 2,Dummy completed in days 2,Dummy Attempts 2,Dummy score 2,Dummy max score 2,Dummy time spent 2
Dummy Master-O ID 3,Dummy Content launch date 3,Dummy challenges 3,Dummy Completion Status 3,Dummy completion date 3,Dummy completed in days 3,Dummy Attempts 3,Dummy score 3,Dummy max score 3,Dummy time spent 3
Dummy Master-O ID 4,Dummy Content launch date 4,Dummy challenges 4,Dummy Completion Status 4,Dummy completion date 4,Dummy completed in days 4,Dummy Attempts 4,Dummy score 4,Dummy max score 4,Dummy time spent 4
Dummy Master-O ID 5,Dummy Content launch date 5,Dummy challenges 5,Dummy Completion Status 5,Dummy completion date 5,Dummy completed in days 5,Dummy Attempts 5,Dummy score 5,Dummy max score 5,Dummy time spent 5
Dummy Master-O ID 6,Dummy Content launch date 6,Dummy challenges 6,Dummy Completion Status 6,Dummy completion date 6,Dummy completed in days 6,Dummy Attempts 6,Dummy score 6,Dummy max score 6,Dummy time spent 6
Dummy Master-O ID 7,Dummy Content launch date 7,Dummy challenges 7,Dummy Completion Status 7,Dummy completion date 7,Dummy completed in days 7,Dummy Attempts 7,Dummy score 7,Dummy max score 7,Dummy time spent 7
Dummy Master-O ID 8,Dummy Content launch date 8,Dummy challenges 8,Dummy Completion Status 8,Dummy completion date 8,Dummy completed in days 8,Dummy Attempts 8,Dummy score 8,Dummy max score 8,Dummy time spent 8
Dummy Master-O ID 9,Dummy Content launch date 9,Dummy challenges 9,Dummy Completion Status 9,Dummy completion date 9,Dummy completed in days 9,Dummy Attempts 9,Dummy score 9,Dummy max score 9,Dummy time spent 9
Dummy Master-O ID 10,Dummy Content launch date 10,Dummy challenges 10,Dummy Completion Status 10,Dummy completion date 10,Dummy completed in days 10,Dummy Attempts 10,Dummy score 10,Dummy max score 10,Dummy time spent 10
